label,webproyecto,responsables,contacto,institucional,pagina,type,link
"Los Zapatos, Mucho Más Que Un Juego",,,,0,1372,rec,https://youtu.be/vVDop0g2V3c
Made In Blecua,,,,1,1365,rec,https://youtu.be/KU1kXV4-c3w
"Make a better world, be a better person",https://www.colegioinmaculadaconcepcion.es/,Adrian Cazorro,,1,1939,rec,https://youtu.be/MOoBT2vffK0
Mannequin Challenge Poético,http://poesiaparallevar-ljp.blogspot.com.es/,Juan José Parcero,,0,1884,rec,https://www.youtube.com/watch?v=gS3oeRdUVBY
Marketing Educativo para la Educación de Adultos en el Siglo XXI,http://cpepamiguelhernandezhuesca.catedu.es/,"COORDINADORAS: BELÉN ASO CUELLO, CARMEN PLANA NACENTA Y ANABEL SAMPÉRIZ CORVINOS",,1,1894,rec,https://www.youtube.com/watch?v=ekGVZnNjM1I
Matemáticas ABN,,Coordinadora: Nuria Fernández Rubio,,0,1899,rec,https://youtu.be/wIvJCNN6K3U
Matemáticas para vivir,http://ceipramonsainzdevaranda.catedu.es/,,,0,1783,rec,
Mejora de la significatividad de la relación de las TIC con las asignaturas,,,,0,1361,rec,https://youtu.be/pBshI_uDqEQ
Metodología del aprendizaje servicio,,,,0,1414,rec,https://youtu.be/9g0Xlmgcy4I
Metodologías nuevas en el área de matemáticas,,Sara Anés Sanz,,1,1448,rec,https://sway.com/RYVfl1a8FKEBy3pt
Mi cole es un museo de Aragón,http://micoleesunmuseo.blogspot.com.es,Yolanda Pérez Mauri,,0,1449,rec,https://vimeo.com/147241522
Mi Huerto Ecológico,,,,0,1360,rec,https://youtu.be/mHJsRlWMkyo
Mi pueblo de cine,http://cramatarranya.catedu.es/,,,0,1772,rec,
Mirábilis II. Construyendo la educación inclusiva desde el IES Pedro Laín Entralgo,https://www.facebook.com/redmejorandojuntos/posts/559226344254274,,,0,1770,rec,
Niños sordos,,,,1,1348,rec,https://youtu.be/__nKoZsYgqw
Nos preparamos para la vida,,,,0,1353,rec,https://youtu.be/Yb_RnYKGLx4
Noticias Calasancio,,José Manuel Sancho (tutor del grupo),,0,1661,rec,https://www.youtube.com/watch?v=0ZxLNhCyYYg
Nuestro cole nos emociona,http://nuestrocolenosemociona.blogspot.com.es/,,,0,1897,rec,https://www.youtube.com/watch?v=eFc7eb9MN1Y&amp;feature=youtu.be
"Nuestro país vecino, Francia",,,,0,1363,rec,https://youtu.be/zYsOjWsK4Tw
Nuestros Proyectos,,,,1,1383,rec,https://youtu.be/Eobv-0jw7Fw
Objetivo 2030. Otro mundo es posible,https://sites.google.com/a/iesmonreal.es/objetivo2030/,Berta Peñasco Casinos,,0,1747,rec,https://youtu.be/cY8aYysUu0Y
"Ocho meses, ocho causas",http://ceipalfredomuinos.catedu.es/,,,0,1741,rec,https://youtu.be/w44Ih4_uOXA
One day in the English Class!,,,,1,1394,rec,https://youtu.be/JkZ_BLD4ppQ
Optimización enseñanza de las TIC en Educación Primaria- CEIP San Miguel 2015-16,,León Moreno,,0,1725,rec,https://vimeo.com/181487390
Otra forma de entender el vino,,,,1,1418,rec,https://youtu.be/ipLg-aGbSak
Our projects about animals,,,,0,1390,rec,https://youtu.be/Gdivn5QPGng
Pareja colaborativa en el área de Educación Física,,David Dorta,,0,1751,rec,https://youtu.be/2XgZQe9Bb1c
Pareja pedagógica en el área de Educación Física,,,,0,1358,rec,https://youtu.be/oEKHnY461hw
Parque Goya piensa y crea,,,,0,1375,rec,https://youtu.be/wj5vohG9FXM
"PASEN Y VEAN, LA FUNCIÓN VA A COMENZAR (Cómo lo hicimos)",,,,1,1428,rec,https://youtu.be/4p4TB0j3pZE
"Pasen Y Vean, La Función Va A Comenzar",,,,1,1366,rec,https://youtu.be/T_Wq2Pbems8
PATIOS DINÁMICOS,http://cpfec.blogspot.com.es/,Mesa de Convivencia (una de las que elaboran el Plan Marco del centro).,,0,1788,rec,https://www.youtube.com/watch?v=jMrE_23_JEE
PEEPA. Plan de Educación Emocional Positiva en la Azucarera.,http://www.iesazucarera.es/,Pilar Peris,,0,1779,rec,https://youtu.be/_c5zgHyjvKk
PIBE en IES Cinco Villas,,,,1,1368,rec,https://youtu.be/YBxDxMwIesI
PIBLEA en el GC,,,,1,1402,rec,https://youtu.be/VV0emVh9mgY
"PIBLEA, POLE y otras lenguas",,,,1,1427,rec,https://youtu.be/VV0emVh9mgY
Pido la palabra,,Silvia Guallar,,0,1742,rec,https://youtu.be/AoUbl8GYWA0
Pingües palabras con perros,,,,1,1343,rec,https://youtu.be/PtakH0HvV14
Pirueta,,,,1,1346,rec,https://youtu.be/s0ay8oN2XrE
Pit 1,,,,0,1347,rec,https://youtu.be/iwagbb4tUeg
Poesía para llevar IES SAN ALBERTO MAGNO,,Estela Puyuelo Ortiz,,1,1906,rec,https://youtu.be/kdtni7ISk-k
Poesía siglo XXI. Para una revitalización de la poesía en el aula,https://proyectoinnovacionblog.wordpress.com/,Marta Domínguez,,0,1748,rec,https://youtu.be/5Y2iRO7tUYk
POLE en ESO en inglés,,,,1,1386,rec,https://youtu.be/suF_Z6l-0jQ
Prácticas Innovadoras en Educación Infantil,,,,0,1357,rec,https://youtu.be/cjLragDLUAw
Prevención a través del lenguaje y la música,https://www.youtube.com/watch?v=BGnlzM-ZUqs,Marian Castelló Fernández y J. Susana Pérez Bernal,,0,1743,rec,https://youtu.be/-lzrl-zevNo
Prevención temprana del fracaso escolar desde la atención a la diversidad,,,,1,1452,rec,
Problemas En El Paraíso: ¡Una Aventura Matemática!,,,,0,1359,rec,https://youtu.be/m_TjEAX_Tuw
Programa Bilingüe. Cile 2,,,,1,1398,rec,https://youtu.be/Gtbhx4ectT8
